year,Week,Guinea,Liberia,S.Leone
2014,01,0,0,0
2014,02,0,0,0
2014,03,0,0,0
2014,04,0,0,0
2014,05,0,0,0
2014,06,0,0,0
2014,07,0,0,0
2014,08,0,0,0
2014,09,1,0,0
2014,10,2,0,0
2014,11,11,0,0
2014,12,11,1,0
2014,13,23,1,0
2014,14,22,2,0
2014,15,27,0,0
2014,16,16,0,0
2014,17,10,0,0
2014,18,3,1,0
2014,19,8,4,0
2014,20,6,0,0
2014,21,23,1,3
2014,22,36,0,16
2014,23,24,3,32
2014,24,29,17,64
2014,25,18,28,59
2014,26,22,28,49
2014,27,2,22,87
2014,28,5,33,106
2014,29,5,27,76
2014,30,32,84,98
2014,31,13,84,142
2014,32,21,161,132
2014,33,40,219,126
2014,34,75,344,172
2014,35,95,334,187
2014,36,101,364,213
2014,37,79,320,232
2014,38,82,311,383
2014,39,120,322,388
2014,40,99,212,361
2014,41,130,184,366
2014,42,110,128,459
2014,43,81,74,458
2014,44,88,91,506
2014,45,153,101,512
2014,46,93,86,464
2014,47,149,59,435
2014,48,86,55,578
2014,49,111,55,388
2014,50,74,38,397
2014,51,171,19,365
2014,52,103,33,430
2015,01,69,8,344
2015,02,41,4,291
2015,03,19,12,120
2015,04,32,6,109
2015,05,41,7,84
2015,06,64,3,93
2015,07,52,8,102
2015,08,37,1,82
2015,09,53,0,66
2015,10,58,1,90
2015,11,93,0,35
2015,12,44,1,35
2015,13,55,0,22
2015,14,21,0,11
2015,15,31,0,15
2015,16,16,0,16
2015,17,22,0,7
2015,18,9,0,8
2015,19,7,0,3
2015,20,27,0,8
2015,21,9,0,7
2015,22,13,0,14
2015,23,12,0,14
2015,24,10,0,14
2015,25,13,0,7
2015,26,11,0,9
2015,27,18,0,6
2015,28,13,0,0
2015,29,22,0,0
2015,30,4,0,0
2015,31,1,0,0
2015,32,2,0,0
